,semana,of,descricao material,descricao consumo,ct
211,19,1600070595,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
212,19,1600070595,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
213,19,1600072131,"PL CC 8405/000 878X578X0,8 NE",BL CC 8405/ORT 878X578X250 NE,CNMLAMPL
214,19,1600072471,"PL CC 8405/000 878X578X0,8 NE",BL CC 8405/ORT 878X578X250 NE,CNMLAMPL
215,19,1600072471,"PL CC 8405/000 878X578X0,8 NE",BL CC 8405/ORT 878X578X250 NE,CNMLAMPL
216,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
217,17,1600066580,"PL CC M 8405/S21 940X640X6,0 NE",BL CC M 8405/ORT 940X640X250 NE,CNMLAMLX
218,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
219,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
220,18,1600066515,"PL CC 8405/S21 940X640X80,0 NE","PL CC 8405/000 950X650X82,0 NE",CNMLAMLX
221,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
222,19,1600061275,"PL CC 8403/S21 950X650X75,0 01",ME PALETE HT 1280X950X131,CNMLAMLX
223,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
224,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
225,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
226,17,1600058981,"PL CC 0084/S22 1830X635X3,1 NE","PL CC 0084/000 1830X635X3,6 NE",CNMLAMLX
